"Country, Other",Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Population
Bulgaria,4467,6094,-27.0,652.0,104,138,-25,15.0,6855607
Burundi,110,125,-12.0,9.0,0,0,0,0.0,12518901
Cabo Verde,13,11,18.0,23.0,0,0,0,0.0,566706
Cambodia,168,260,-35.0,10.0,0,1,-100,0.0,17129632
Cameroon,236,0,23600.0,9.0,0,0,0,0.0,27718103
Canada,68848,61068,13.0,1796.0,323,266,21,8.0,38329563
Caribbean Netherlands,481,385,25.0,18045.0,1,2,-50,38.0,26656
Cayman Islands,515,0,51500.0,7676.0,1,0,100,15.0,67092
Chad,31,39,-21.0,2.0,0,1,-100,0.0,17261883
Channel Islands,2365,1259,88.0,13384.0,8,0,800,45.0,176708
Chile,23678,33701,-30.0,1220.0,285,345,-17,15.0,19407481
China,9471,11570,-18.0,7.0,0,0,0,0.0,1449190382
Colombia,2135,2244,-5.0,41.0,51,83,-39,1.0,51845560
Comoros,7,8,-13.0,8.0,0,0,0,0.0,902468
Congo,0,10,-100.0,0.0,0,1,-100,0.0,5759039
Cook Islands,1058,781,35.0,60138.0,0,0,0,0.0,17593
Costa Rica,3549,4257,-17.0,686.0,30,39,-23,6.0,5176690
Croatia,6185,8547,-28.0,1523.0,68,86,-21,17.0,4060332
Cuba,3999,5038,-21.0,353.0,3,6,-50,0.3,11314344
Curaçao,482,454,6.0,2916.0,3,0,300,18.0,165284
Cyprus,14370,25558,-44.0,11750.0,33,17,94,27.0,1222961
Czechia,29480,39560,-25.0,2744.0,142,142,0,13.0,10744249
DRC,0,33,-100.0,0.0,0,0,0,0.0,94390601
Denmark,16252,20694,-21.0,2788.0,134,213,-37,23.0,5828411
Djibouti,4,6,-33.0,4.0,0,0,0,0.0,1013500
Dominica,84,110,-24.0,1162.0,0,0,0,0.0,72303
Dominican Republic,307,337,-9.0,28.0,0,0,0,0.0,11041006
Ecuador,2393,2980,-20.0,132.0,59,28,111,3.0,18118525
Egypt,1200,3277,-63.0,11.0,21,52,-60,0.2,105759377
El Salvador,519,518,0.2,79.0,3,3,0,0.5,6544303
Equatorial Guinea,0,1,-100.0,0.0,0,0,0,0.0,1484727
Eritrea,4,4,0.0,1.0,0,0,0,0.0,3633536
Estonia,4983,6495,-23.0,3752.0,23,27,-15,17.0,1328119
Eswatini,117,202,-42.0,99.0,0,1,-100,0.0,1181486
Ethiopia,229,200,15.0,2.0,1,16,-94,0.0,120015383
Faeroe Islands,0,421,-100.0,0.0,0,0,0,0.0,49192
Falkland Islands,5,0,500.0,1366.0,0,0,0,0.0,3660
Fiji,33,66,-50.0,36.0,0,0,0,0.0,907976
Finland,12906,42971,-70.0,2323.0,80,199,-60,14.0,5555999
France,935108,952013,-2.0,14270.0,841,799,5,13.0,65529910
French Guiana,454,426,7.0,1453.0,0,0,0,0.0,312415
French Polynesia,97,278,-65.0,342.0,0,2,-100,0.0,283791
Gabon,0,4,-100.0,0.0,0,0,0,0.0,2318907
Gambia,0,2,-100.0,0.0,0,0,0,0.0,2537094
Georgia,1961,2765,-29.0,493.0,18,31,-42,5.0,3975575
Germany,977384,1256200,-22.0,11600.0,1416,1746,-19,17.0,84259518
Ghana,57,89,-36.0,2.0,0,0,0,0.0,32223793
Gibraltar,116,347,-67.0,3445.0,0,0,0,0.0,33673
Greece,81296,127709,-36.0,7868.0,458,424,8,44.0,10332685
Grenada,40,42,-5.0,353.0,1,0,100,9.0,113449
