,Country/Currency,currency,value,date
3068,Indonesia Rupiah,IDR,16289.314225,06/01/2022
3069,Iran Rial,IRR,47807.908119,06/01/2022
3070,Iraq Dinar,IQD,1652.060266,06/01/2022
3071,Israel New Shekel,ILS,3.503737,06/01/2022
3072,Jamaica Dollar,JMD,174.210172,06/01/2022
3073,Jordan Dinar,JOD,0.80224,06/01/2022
3074,Kazakhstan Tenge,KZT,492.897896,06/01/2022
3075,Kenya Shilling,KES,128.034482,06/01/2022
3076,Kuwait Dinar,KWD,0.342372,06/01/2022
3077,Kyrgyzstan Som,KGS,95.951147,06/01/2022
3078,Laos Kip,LAK,12718.600648,06/01/2022
3079,Lebanon Pound,LBP,1709.839052,06/01/2022
3080,Lesotho Loti,LSL,17.969381,06/01/2022
3081,Liberia Dollar,LRD,165.311143,06/01/2022
3082,Libya Dinar,LYD,5.20761,06/01/2022
3083,Macau Pataca,MOP,9.087005,06/01/2022
3084,Macedonia Denar,MKD,61.643498,06/01/2022
3085,Malagasy Ariary,MGA,4486.588071,06/01/2022
3086,Malawi Kwacha,MWK,922.211927,06/01/2022
3087,Malaysia Ringgit,MYR,4.754769,06/01/2022
3088,Maldives Rufiyaa,MVR,17.482264,06/01/2022
3089,Mauritania Ouguiya,MRO,403.962487,06/01/2022
3090,Mauritius Rupee,MUR,48.76703,06/01/2022
3091,Mexico Peso,MXN,23.284607,06/01/2022
3092,Moldova Leu,MDL,20.205102,06/01/2022
3093,Mongolia Tugrik,MNT,3234.399802,06/01/2022
3094,Morocco Dirham,MAD,10.46965,06/01/2022
3095,Mozambique New Metical,MZN,72.226329,06/01/2022
3096,Myanmar Kyat,MMK,2012.515084,06/01/2022
3097,NL Antilles Guilder,ANG,2.039952,06/01/2022
3098,Namibia Dollar,NAD,17.974658,06/01/2022
3099,Nepal Rupee,NPR,134.567588,06/01/2022
3100,New Zealand Dollar,NZD,1.666323,06/01/2022
3101,Nicaragua Cordoba Oro,NIO,40.057022,06/01/2022
3102,Nigeria Naira,NGN,467.106494,06/01/2022
3103,North Korea Won,KPW,1018.393227,06/01/2022
3104,Norway Kroner,NOK,10.017873,06/01/2022
3105,Oman Rial,OMR,0.435662,06/01/2022
3106,Pakistan Rupee,PKR,199.887913,06/01/2022
3107,Panama Balboa,PAB,1.131863,06/01/2022
3108,Papua New Guinea Kina,PGK,3.994425,06/01/2022
3109,Paraguay Guarani,PYG,7807.814577,06/01/2022
3110,Peru Nuevo Sol,PEN,4.482633,06/01/2022
3111,Philippines Peso,PHP,57.703865,06/01/2022
3112,Poland Zloty,PLN,4.575607,06/01/2022
3113,Qatar Rial,QAR,4.119937,06/01/2022
3114,Romania New Lei,RON,4.945429,06/01/2022
3115,Russia Rouble,RUB,86.785897,06/01/2022
3116,Rwanda Franc,RWF,1145.692479,06/01/2022
3117,Samoa Tala,WST,2.942219,06/01/2022
3118,Sao Tome/Principe Dobra,STD,23420.761654,06/01/2022
3119,Saudi Arabia Riyal,SAR,4.250072,06/01/2022
3120,Serbia Dinar,RSD,117.579155,06/01/2022
3121,Seychelles Rupee,SCR,15.868428,06/01/2022
3122,Sierra Leone Leone,SLL,12752.547415,06/01/2022
3123,Singapore Dollar,SGD,1.535799,06/01/2022
3124,Solomon Islands Dollar,SBD,9.143896,06/01/2022
3125,Somali Shilling,SOS,663.087115,06/01/2022
3126,South Africa Rand,ZAR,18.011648,06/01/2022
3127,South Korea Won,KRW,1356.0587,06/01/2022
3128,Sri Lanka Rupee,LKR,228.643501,06/01/2022
3129,St Helena Pound,SHP,1.558592,06/01/2022
3130,Sudan Pound,SDG,495.051486,06/01/2022
3131,Suriname Dollar,SRD,24.147803,06/01/2022
3132,Swaziland Lilangeni,SZL,17.968763,06/01/2022
3133,Sweden Krona,SEK,10.314378,06/01/2022
3134,Syria Pound,SYP,2843.006504,06/01/2022
3135,Taiwan Dollar,TWD,31.258341,06/01/2022
3136,Tanzania Shilling,TZS,2602.560431,06/01/2022
3137,Thailand Baht,THB,37.637518,06/01/2022
3138,Tonga Pa'anga,TOP,2.577384,06/01/2022
3139,Trinidad/Tobago Dollar,TTD,7.695715,06/01/2022
3140,Tunisia Dinar,TND,3.253763,06/01/2022
3141,Turkish New Lira,TRY,15.485218,06/01/2022
3142,Uganda Shilling,UGX,4006.639285,06/01/2022
3143,Ukraine Hryvnia,UAH,31.088473,06/01/2022
3144,Uruguay Peso,UYU,50.5158,06/01/2022
3145,United Arab Emirates Dirham,AED,4.156286,06/01/2022
3146,Vanuatu Vatu,VUV,128.150827,06/01/2022
3147,Vietnam Dong,VND,25754.035384,06/01/2022
3148,Yemen Rial,YER,283.170383,06/01/2022
3149,Zambia Kwacha,ZMK,10185.29024,06/01/2022
3150,Australia Dollar,AUD,1.574561,07/01/2022
3151,Great Britain Pound,GBP,0.833992,07/01/2022
3152,Euro,EUR,1.0,07/01/2022
3153,Japan Yen,JPY,130.967053,07/01/2022
3154,Switzerland Franc,CHF,1.040934,07/01/2022
3155,USA Dollar,USD,1.129688,07/01/2022
3156,Afghanistan Afghani,AFN,118.617595,07/01/2022
3157,Albania Lek,ALL,121.272304,07/01/2022
3158,Algeria Dinar,DZD,157.413903,07/01/2022
3159,Angola Kwanza,AOA,623.24964,07/01/2022
3160,Argentina Peso,ARS,116.625068,07/01/2022
3161,Armenia Dram,AMD,545.682912,07/01/2022
3162,Aruba Florin,AWG,2.033439,07/01/2022
3163,Azerbaijan New Manat,AZN,1.913522,07/01/2022
3164,Bahamas Dollar,BSD,1.129753,07/01/2022
3165,Bahrain Dinar,BHD,0.425924,07/01/2022
3166,Bangladesh Taka,BDT,97.132717,07/01/2022
3167,Barbados Dollar,BBD,2.281177,07/01/2022
3168,Belarus Ruble,BYR,22141.891805,07/01/2022
3169,Belize Dollar,BZD,2.277282,07/01/2022
3170,Bermuda Dollar,BMD,1.129688,07/01/2022
3171,Bhutan Ngultrum,BTN,84.087577,07/01/2022
3172,Bolivia Boliviano,BOB,7.789835,07/01/2022
3173,Bosnia Mark,BAM,1.953139,07/01/2022
3174,Botswana Pula,BWP,13.213809,07/01/2022
3175,Brazil Real,BRL,6.420925,07/01/2022
3176,Brunei Dollar,BND,1.536404,07/01/2022
3177,Bulgaria Lev,BGN,1.956213,07/01/2022
3178,Burundi Franc,BIF,2267.284533,07/01/2022
3179,CFA Franc BCEAO,XOF,655.785859,07/01/2022
3180,CFA Franc BEAC,XAF,654.935689,07/01/2022
3181,CFP Franc,XPF,119.611689,07/01/2022
3182,Cambodia Riel,KHR,4603.480504,07/01/2022
3183,Canada Dollar,CAD,1.43576,07/01/2022
3184,Cape Verde Escudo,CVE,109.297041,07/01/2022
3185,Cayman Islands Dollar,KYD,0.941511,07/01/2022
3186,Chili Peso,CLP,946.225057,07/01/2022
3187,China Yuan/Renminbi,CNY,7.210915,07/01/2022
3188,Colombia Peso,COP,4555.660348,07/01/2022
3189,Comoros Franc,KMF,490.625119,07/01/2022
3190,Congo Franc,CDF,2267.28469,07/01/2022
3191,Costa Rica Colon,CRC,725.516704,07/01/2022
3192,Croatia Kuna,HRK,7.521806,07/01/2022
3193,Cuba Convertible Peso,CUC,1.129688,07/01/2022
3194,Cuba Peso,CUP,29.936741,07/01/2022
3195,Czech Koruna,CZK,24.511413,07/01/2022
3196,Denmark Krone,DKK,7.439393,07/01/2022
3197,Djibouti Franc,DJF,200.7685,07/01/2022
3198,Dominican Republich Peso,DOP,65.013231,07/01/2022
3199,East Caribbean Dollar,XCD,3.05304,07/01/2022
3200,Egypt Pound,EGP,17.756917,07/01/2022
3201,El Salvador Colon,SVC,9.885466,07/01/2022
3202,Ethiopia Birr,ETB,55.697967,07/01/2022
3203,Falkland Islands Pound,FKP,0.852213,07/01/2022
3204,Fiji Dollar,FJD,2.41087,07/01/2022
3205,Gambia Dalasi,GMD,59.732265,07/01/2022
3206,Georgia Lari,GEL,3.49106,07/01/2022
3207,Ghana New Cedi,GHS,6.964528,07/01/2022
3208,Gibraltar Pound,GIP,0.852213,07/01/2022
3209,Guatemala Quetzal,GTQ,8.721705,07/01/2022
3210,Guinea Franc,GNF,10280.164093,07/01/2022
3211,Guyana Dollar,GYD,236.436298,07/01/2022
3212,Haiti Gourde,HTG,112.95136,07/01/2022
3213,Honduras Lempira,HNL,27.654588,07/01/2022
3214,Hong Kong Dollar,HKD,8.812427,07/01/2022
3215,Hungary Forint,HUF,360.042666,07/01/2022
3216,Iceland Krona,ISK,146.41879,07/01/2022
3217,India Rupee,INR,84.014971,07/01/2022
3218,Indonesia Rupiah,IDR,16228.199192,07/01/2022
3219,Iran Rial,IRR,47757.575132,07/01/2022
3220,Iraq Dinar,IQD,1648.215313,07/01/2022
3221,Israel New Shekel,ILS,3.519307,07/01/2022
3222,Jamaica Dollar,JMD,174.324335,07/01/2022
3223,Jordan Dinar,JOD,0.800992,07/01/2022
3224,Kazakhstan Tenge,KZT,491.957757,07/01/2022
3225,Kenya Shilling,KES,127.936999,07/01/2022
3226,Kuwait Dinar,KWD,0.341923,07/01/2022
3227,Kyrgyzstan Som,KGS,95.782859,07/01/2022
3228,Laos Kip,LAK,12697.696795,07/01/2022
3229,Lebanon Pound,LBP,1707.032597,07/01/2022
3230,Lesotho Loti,LSL,17.758508,07/01/2022
3231,Liberia Dollar,LRD,165.640599,07/01/2022
3232,Libya Dinar,LYD,5.190874,07/01/2022
3233,Macau Pataca,MOP,9.078271,07/01/2022
3234,Macedonia Denar,MKD,61.616819,07/01/2022
3235,Malagasy Ariary,MGA,4470.177342,07/01/2022
3236,Malawi Kwacha,MWK,921.825325,07/01/2022
3237,Malaysia Ringgit,MYR,4.75622,07/01/2022
3238,Maldives Rufiyaa,MVR,17.465293,07/01/2022
3239,Mauritania Ouguiya,MRO,403.298549,07/01/2022
3240,Mauritius Rupee,MUR,49.371188,07/01/2022
3241,Mexico Peso,MXN,23.137595,07/01/2022
3242,Moldova Leu,MDL,20.222834,07/01/2022
3243,Mongolia Tugrik,MNT,3229.083863,07/01/2022
3244,Morocco Dirham,MAD,10.486333,07/01/2022
3245,Mozambique New Metical,MZN,72.108283,07/01/2022
3246,Myanmar Kyat,MMK,2008.728193,07/01/2022
3247,NL Antilles Guilder,ANG,2.036112,07/01/2022
3248,Namibia Dollar,NAD,17.747603,07/01/2022
3249,Nepal Rupee,NPR,134.538614,07/01/2022
3250,New Zealand Dollar,NZD,1.673357,07/01/2022
3251,Nicaragua Cordoba Oro,NIO,39.988675,07/01/2022
3252,Nigeria Naira,NGN,466.606566,07/01/2022
3253,North Korea Won,KPW,1016.719434,07/01/2022
3254,Norway Kroner,NOK,10.038416,07/01/2022
3255,Oman Rial,OMR,0.434942,07/01/2022
3256,Pakistan Rupee,PKR,200.05698,07/01/2022
3257,Panama Balboa,PAB,1.129753,07/01/2022
3258,Papua New Guinea Kina,PGK,3.982187,07/01/2022
3259,Paraguay Guarani,PYG,7837.070362,07/01/2022
3260,Peru Nuevo Sol,PEN,4.482036,07/01/2022
3261,Philippines Peso,PHP,57.874029,07/01/2022
3262,Poland Zloty,PLN,4.555251,07/01/2022
3263,Qatar Rial,QAR,4.113205,07/01/2022
3264,Romania New Lei,RON,4.942721,07/01/2022
3265,Russia Rouble,RUB,86.160649,07/01/2022
3266,Rwanda Franc,RWF,1146.633683,07/01/2022
3267,Samoa Tala,WST,2.937383,07/01/2022
3268,Sao Tome/Principe Dobra,STD,23382.268166,07/01/2022
3269,Saudi Arabia Riyal,SAR,4.241387,07/01/2022
3270,Serbia Dinar,RSD,117.585461,07/01/2022
3271,Seychelles Rupee,SCR,15.809388,07/01/2022
3272,Sierra Leone Leone,SLL,12799.369294,07/01/2022
3273,Singapore Dollar,SGD,1.536111,07/01/2022
3274,Solomon Islands Dollar,SBD,9.136251,07/01/2022
3275,Somali Shilling,SOS,661.997677,07/01/2022
3276,South Africa Rand,ZAR,17.759945,07/01/2022
3277,South Korea Won,KRW,1357.394021,07/01/2022
3278,Sri Lanka Rupee,LKR,228.213236,07/01/2022
3279,St Helena Pound,SHP,1.556035,07/01/2022
3280,Sudan Pound,SDG,494.23044,07/01/2022
3281,Suriname Dollar,SRD,24.019408,07/01/2022
3282,Swaziland Lilangeni,SZL,17.746925,07/01/2022
3283,Sweden Krona,SEK,10.331903,07/01/2022
3284,Syria Pound,SYP,2838.333845,07/01/2022
3285,Taiwan Dollar,TWD,31.218374,07/01/2022
3286,Tanzania Shilling,TZS,2598.283348,07/01/2022
3287,Thailand Baht,THB,37.878018,07/01/2022
3288,Tonga Pa'anga,TOP,2.572525,07/01/2022
3289,Trinidad/Tobago Dollar,TTD,7.681483,07/01/2022
3290,Tunisia Dinar,TND,3.255193,07/01/2022
3291,Turkish New Lira,TRY,15.613308,07/01/2022
3292,Uganda Shilling,UGX,4002.74902,07/01/2022
3293,Ukraine Hryvnia,UAH,31.061699,07/01/2022
3294,Uruguay Peso,UYU,50.55179,07/01/2022
3295,United Arab Emirates Dirham,AED,4.149464,07/01/2022
3296,Vanuatu Vatu,VUV,127.940204,07/01/2022
3297,Vietnam Dong,VND,25700.410131,07/01/2022
3298,Yemen Rial,YER,282.421741,07/01/2022
3299,Zambia Kwacha,ZMK,10168.547658,07/01/2022
3300,Australia Dollar,AUD,1.582288,08/01/2022
3301,Great Britain Pound,GBP,0.835726,08/01/2022
3302,Euro,EUR,1.0,08/01/2022
3303,Japan Yen,JPY,131.266772,08/01/2022
3304,Switzerland Franc,CHF,1.044015,08/01/2022
3305,USA Dollar,USD,1.136169,08/01/2022
3306,Afghanistan Afghani,AFN,119.298209,08/01/2022
3307,Albania Lek,ALL,121.570547,08/01/2022
3308,Algeria Dinar,DZD,158.498846,08/01/2022
3309,Angola Kwanza,AOA,625.947599,08/01/2022
3310,Argentina Peso,ARS,117.357535,08/01/2022
3311,Armenia Dram,AMD,549.665372,08/01/2022
3312,Aruba Florin,AWG,2.045673,08/01/2022
3313,Azerbaijan New Manat,AZN,1.935999,08/01/2022
3314,Bahamas Dollar,BSD,1.13622,08/01/2022
3315,Bahrain Dinar,BHD,0.428383,08/01/2022
3316,Bangladesh Taka,BDT,97.642373,08/01/2022
3317,Barbados Dollar,BBD,2.294251,08/01/2022
3318,Belarus Ruble,BYR,22268.920848,08/01/2022
3319,Belize Dollar,BZD,2.290331,08/01/2022
3320,Bermuda Dollar,BMD,1.136169,08/01/2022
3321,Bhutan Ngultrum,BTN,84.430594,08/01/2022
3322,Bolivia Boliviano,BOB,7.82317,08/01/2022
3323,Bosnia Mark,BAM,1.965899,08/01/2022
3324,Botswana Pula,BWP,13.250871,08/01/2022
3325,Brazil Real,BRL,6.403228,08/01/2022
3326,Brunei Dollar,BND,1.544276,08/01/2022
3327,Bulgaria Lev,BGN,1.959478,08/01/2022
3328,Burundi Franc,BIF,2280.860133,08/01/2022
3329,CFA Franc BCEAO,XOF,658.414278,08/01/2022
3330,CFA Franc BEAC,XAF,659.31951,08/01/2022
3331,CFP Franc,XPF,119.894322,08/01/2022
3332,Cambodia Riel,KHR,4629.89083,08/01/2022
3333,Canada Dollar,CAD,1.436135,08/01/2022
3334,Cape Verde Escudo,CVE,110.780947,08/01/2022
3335,Cayman Islands Dollar,KYD,0.946858,08/01/2022
3336,Chili Peso,CLP,941.100951,08/01/2022
3337,China Yuan/Renminbi,CNY,7.246152,08/01/2022
3338,Colombia Peso,COP,4602.099727,08/01/2022
3339,Comoros Franc,KMF,492.533762,08/01/2022
3340,Congo Franc,CDF,2280.292459,08/01/2022
3341,Costa Rica Colon,CRC,729.677389,08/01/2022
3342,Croatia Kuna,HRK,7.520992,08/01/2022
3343,Cuba Convertible Peso,CUC,1.136169,08/01/2022
3344,Cuba Peso,CUP,30.10849,08/01/2022
3345,Czech Koruna,CZK,24.442304,08/01/2022
3346,Denmark Krone,DKK,7.438859,08/01/2022
3347,Djibouti Franc,DJF,201.920479,08/01/2022
3348,Dominican Republich Peso,DOP,65.500614,08/01/2022
3349,East Caribbean Dollar,XCD,3.070555,08/01/2022
3350,Egypt Pound,EGP,17.856348,08/01/2022
3351,El Salvador Colon,SVC,9.941922,08/01/2022
3352,Ethiopia Birr,ETB,56.02496,08/01/2022
3353,Falkland Islands Pound,FKP,0.857102,08/01/2022
3354,Fiji Dollar,FJD,2.433721,08/01/2022
3355,Gambia Dalasi,GMD,59.994124,08/01/2022
3356,Georgia Lari,GEL,3.51649,08/01/2022
3357,Ghana New Cedi,GHS,7.00453,08/01/2022
3358,Gibraltar Pound,GIP,0.857102,08/01/2022
3359,Guatemala Quetzal,GTQ,8.77193,08/01/2022
3360,Guinea Franc,GNF,10333.461379,08/01/2022
3361,Guyana Dollar,GYD,237.727635,08/01/2022
3362,Haiti Gourde,HTG,113.600861,08/01/2022
3363,Honduras Lempira,HNL,27.79643,08/01/2022
3364,Hong Kong Dollar,HKD,8.859032,08/01/2022
3365,Hungary Forint,HUF,358.694415,08/01/2022
3366,Iceland Krona,ISK,146.168636,08/01/2022
3367,India Rupee,INR,84.607754,08/01/2022
3368,Indonesia Rupiah,IDR,16268.52604,08/01/2022
3369,Iran Rial,IRR,48003.15886,08/01/2022
3370,Iraq Dinar,IQD,1658.807369,08/01/2022
3371,Israel New Shekel,ILS,3.527863,08/01/2022
3372,Jamaica Dollar,JMD,175.48035,08/01/2022
3373,Jordan Dinar,JOD,0.805589,08/01/2022
3374,Kazakhstan Tenge,KZT,494.784272,08/01/2022
3375,Kenya Shilling,KES,128.671625,08/01/2022
3376,Kuwait Dinar,KWD,0.343862,08/01/2022
3377,Kyrgyzstan Som,KGS,96.351487,08/01/2022
3378,Laos Kip,LAK,12793.26819,08/01/2022
3379,Lebanon Pound,LBP,1720.160915,08/01/2022
3380,Lesotho Loti,LSL,17.770123,08/01/2022
3381,Liberia Dollar,LRD,167.158972,08/01/2022
3382,Libya Dinar,LYD,5.230657,08/01/2022
3383,Macau Pataca,MOP,9.128455,08/01/2022
3384,Macedonia Denar,MKD,61.932215,08/01/2022
3385,Malagasy Ariary,MGA,4493.550494,08/01/2022
3386,Malawi Kwacha,MWK,928.822758,08/01/2022
3387,Malaysia Ringgit,MYR,4.782181,08/01/2022
3388,Maldives Rufiyaa,MVR,17.554248,08/01/2022
3389,Mauritania Ouguiya,MRO,405.612291,08/01/2022
3390,Mauritius Rupee,MUR,49.656531,08/01/2022
3391,Mexico Peso,MXN,23.160644,08/01/2022
3392,Moldova Leu,MDL,20.321989,08/01/2022
3393,Mongolia Tugrik,MNT,3247.609265,08/01/2022
3394,Morocco Dirham,MAD,10.521361,08/01/2022
3395,Mozambique New Metical,MZN,72.522124,08/01/2022
3396,Myanmar Kyat,MMK,2020.225692,08/01/2022
3397,NL Antilles Guilder,ANG,2.047789,08/01/2022
3398,Namibia Dollar,NAD,17.764053,08/01/2022
3399,Nepal Rupee,NPR,135.08895,08/01/2022
3400,New Zealand Dollar,NZD,1.676545,08/01/2022
3401,Nicaragua Cordoba Oro,NIO,40.595762,08/01/2022
3402,Nigeria Naira,NGN,469.476999,08/01/2022
3403,North Korea Won,KPW,1022.5524,08/01/2022
3404,Norway Kroner,NOK,10.037432,08/01/2022
3405,Oman Rial,OMR,0.437438,08/01/2022
3406,Pakistan Rupee,PKR,201.102378,08/01/2022
3407,Panama Balboa,PAB,1.13622,08/01/2022
3408,Papua New Guinea Kina,PGK,4.011104,08/01/2022
3409,Paraguay Guarani,PYG,7901.772679,08/01/2022
3410,Peru Nuevo Sol,PEN,4.492986,08/01/2022
3411,Philippines Peso,PHP,58.323671,08/01/2022
3412,Poland Zloty,PLN,4.545742,08/01/2022
3413,Qatar Rial,QAR,4.136837,08/01/2022
3414,Romania New Lei,RON,4.945182,08/01/2022
3415,Russia Rouble,RUB,85.724408,08/01/2022
3416,Rwanda Franc,RWF,1154.348142,08/01/2022
3417,Samoa Tala,WST,2.954235,08/01/2022
3418,Sao Tome/Principe Dobra,STD,23516.413305,08/01/2022
3419,Saudi Arabia Riyal,SAR,4.264837,08/01/2022
3420,Serbia Dinar,RSD,117.587899,08/01/2022
3421,Seychelles Rupee,SCR,15.763767,08/01/2022
3422,Sierra Leone Leone,SLL,12878.480885,08/01/2022
3423,Singapore Dollar,SGD,1.542555,08/01/2022
3424,Solomon Islands Dollar,SBD,9.18863,08/01/2022
3425,Somali Shilling,SOS,663.523332,08/01/2022
3426,South Africa Rand,ZAR,17.704592,08/01/2022
3427,South Korea Won,KRW,1360.739045,08/01/2022
3428,Sri Lanka Rupee,LKR,230.513613,08/01/2022
3429,St Helena Pound,SHP,1.564964,08/01/2022
3430,Sudan Pound,SDG,497.078305,08/01/2022
3431,Suriname Dollar,SRD,24.164095,08/01/2022
3432,Swaziland Lilangeni,SZL,17.764052,08/01/2022
3433,Sweden Krona,SEK,10.286026,08/01/2022
3434,Syria Pound,SYP,2854.617496,08/01/2022
3435,Taiwan Dollar,TWD,31.418536,08/01/2022
3436,Tanzania Shilling,TZS,2622.279428,08/01/2022
3437,Thailand Baht,THB,38.209798,08/01/2022
3438,Tonga Pa'anga,TOP,2.595583,08/01/2022
3439,Trinidad/Tobago Dollar,TTD,7.712604,08/01/2022
3440,Tunisia Dinar,TND,3.273347,08/01/2022
3441,Turkish New Lira,TRY,15.755347,08/01/2022
3442,Uganda Shilling,UGX,4028.031475,08/01/2022
3443,Ukraine Hryvnia,UAH,31.24182,08/01/2022
3444,Uruguay Peso,UYU,50.842414,08/01/2022
3445,United Arab Emirates Dirham,AED,4.173197,08/01/2022
3446,Vanuatu Vatu,VUV,128.674202,08/01/2022
3447,Vietnam Dong,VND,25779.684389,08/01/2022
3448,Yemen Rial,YER,284.326814,08/01/2022
3449,Zambia Kwacha,ZMK,10226.892365,08/01/2022
3450,Australia Dollar,AUD,1.582629,09/01/2022
3451,Great Britain Pound,GBP,0.836126,09/01/2022
3452,Euro,EUR,1.0,09/01/2022
3453,Japan Yen,JPY,131.327597,09/01/2022
3454,Switzerland Franc,CHF,1.043688,09/01/2022
3455,USA Dollar,USD,1.136169,09/01/2022
3456,Afghanistan Afghani,AFN,118.735616,09/01/2022
3457,Albania Lek,ALL,121.505981,09/01/2022
3458,Algeria Dinar,DZD,158.498846,09/01/2022
3459,Angola Kwanza,AOA,625.947599,09/01/2022
3460,Argentina Peso,ARS,116.71065,09/01/2022
3461,Armenia Dram,AMD,546.921932,09/01/2022
3462,Aruba Florin,AWG,2.045673,09/01/2022
3463,Azerbaijan New Manat,AZN,1.935999,09/01/2022
3464,Bahamas Dollar,BSD,1.130549,09/01/2022
3465,Bahrain Dinar,BHD,0.428356,09/01/2022
3466,Bangladesh Taka,BDT,97.157178,09/01/2022
3467,Barbados Dollar,BBD,2.2828,09/01/2022
3468,Belarus Ruble,BYR,22268.920848,09/01/2022
3469,Belize Dollar,BZD,2.2789,09/01/2022
3470,Bermuda Dollar,BMD,1.136169,09/01/2022
3471,Bhutan Ngultrum,BTN,84.011049,09/01/2022
3472,Bolivia Boliviano,BOB,7.784124,09/01/2022
3473,Bosnia Mark,BAM,1.956087,09/01/2022
3474,Botswana Pula,BWP,13.184734,09/01/2022
3475,Brazil Real,BRL,6.403228,09/01/2022
3476,Brunei Dollar,BND,1.536602,09/01/2022
3477,Bulgaria Lev,BGN,1.959529,09/01/2022
3478,Burundi Franc,BIF,2255.466643,09/01/2022
3479,CFA Franc BCEAO,XOF,656.043284,09/01/2022
3480,CFA Franc BEAC,XAF,656.043284,09/01/2022
3481,CFP Franc,XPF,119.894322,09/01/2022
3482,Cambodia Riel,KHR,4607.105935,09/01/2022
3483,Canada Dollar,CAD,1.43676,09/01/2022
3484,Cape Verde Escudo,CVE,110.279504,09/01/2022
3485,Cayman Islands Dollar,KYD,0.942124,09/01/2022
3486,Chili Peso,CLP,944.324199,09/01/2022
3487,China Yuan/Renminbi,CNY,7.246152,09/01/2022
3488,Colombia Peso,COP,4561.399923,09/01/2022
3489,Comoros Franc,KMF,492.533762,09/01/2022
3490,Congo Franc,CDF,2280.292459,09/01/2022
3491,Costa Rica Colon,CRC,726.035489,09/01/2022
3492,Croatia Kuna,HRK,7.520992,09/01/2022
3493,Cuba Convertible Peso,CUC,1.136169,09/01/2022
3494,Cuba Peso,CUP,30.10849,09/01/2022
3495,Czech Koruna,CZK,24.441323,09/01/2022
3496,Denmark Krone,DKK,7.44045,09/01/2022
3497,Djibouti Franc,DJF,201.276472,09/01/2022
3498,Dominican Republich Peso,DOP,64.861531,09/01/2022
3499,East Caribbean Dollar,XCD,3.070555,09/01/2022
3500,Egypt Pound,EGP,17.856348,09/01/2022
3501,El Salvador Colon,SVC,9.892301,09/01/2022
3502,Ethiopia Birr,ETB,56.088577,09/01/2022
3503,Falkland Islands Pound,FKP,0.857102,09/01/2022
3504,Fiji Dollar,FJD,2.424704,09/01/2022
3505,Gambia Dalasi,GMD,59.994124,09/01/2022
3506,Georgia Lari,GEL,3.51649,09/01/2022
3507,Ghana New Cedi,GHS,6.99212,09/01/2022
3508,Gibraltar Pound,GIP,0.857102,09/01/2022
3509,Guatemala Quetzal,GTQ,8.728148,09/01/2022
3510,Guinea Franc,GNF,10322.257601,09/01/2022
3511,Guyana Dollar,GYD,236.54111,09/01/2022
3512,Haiti Gourde,HTG,113.033866,09/01/2022
3513,Honduras Lempira,HNL,27.759651,09/01/2022
3514,Hong Kong Dollar,HKD,8.860043,09/01/2022
3515,Hungary Forint,HUF,358.762586,09/01/2022
3516,Iceland Krona,ISK,146.168636,09/01/2022
3517,India Rupee,INR,84.39183,09/01/2022
3518,Indonesia Rupiah,IDR,16268.52604,09/01/2022
3519,Iran Rial,IRR,48003.15886,09/01/2022
3520,Iraq Dinar,IQD,1650.127028,09/01/2022
3521,Israel New Shekel,ILS,3.5394,09/01/2022
3522,Jamaica Dollar,JMD,174.602964,09/01/2022
3523,Jordan Dinar,JOD,0.805589,09/01/2022
3524,Kazakhstan Tenge,KZT,492.31475,09/01/2022
3525,Kenya Shilling,KES,128.095747,09/01/2022
3526,Kuwait Dinar,KWD,0.343862,09/01/2022
3527,Kyrgyzstan Som,KGS,96.351487,09/01/2022
3528,Laos Kip,LAK,12719.172848,09/01/2022
3529,Lebanon Pound,LBP,1709.724866,09/01/2022
3530,Lesotho Loti,LSL,17.770123,09/01/2022
3531,Liberia Dollar,LRD,167.158972,09/01/2022
3532,Libya Dinar,LYD,5.199984,09/01/2022
3533,Macau Pataca,MOP,9.083095,09/01/2022
3534,Macedonia Denar,MKD,61.623105,09/01/2022
3535,Malagasy Ariary,MGA,4496.921443,09/01/2022
3536,Malawi Kwacha,MWK,923.012396,09/01/2022
3537,Malaysia Ringgit,MYR,4.782181,09/01/2022
3538,Maldives Rufiyaa,MVR,17.554248,09/01/2022
3539,Mauritania Ouguiya,MRO,405.612291,09/01/2022
3540,Mauritius Rupee,MUR,49.656531,09/01/2022
3541,Mexico Peso,MXN,23.15491,09/01/2022
3542,Moldova Leu,MDL,20.220559,09/01/2022
3543,Mongolia Tugrik,MNT,3247.609265,09/01/2022
3544,Morocco Dirham,MAD,10.497081,09/01/2022
3545,Mozambique New Metical,MZN,72.522124,09/01/2022
3546,Myanmar Kyat,MMK,2010.186983,09/01/2022
3547,NL Antilles Guilder,ANG,2.037568,09/01/2022
3548,Namibia Dollar,NAD,17.764053,09/01/2022
3549,Nepal Rupee,NPR,134.417679,09/01/2022
3550,New Zealand Dollar,NZD,1.675149,09/01/2022
3551,Nicaragua Cordoba Oro,NIO,40.028265,09/01/2022
3552,Nigeria Naira,NGN,469.476999,09/01/2022
3553,North Korea Won,KPW,1022.5524,09/01/2022
3554,Norway Kroner,NOK,10.04513,09/01/2022
3555,Oman Rial,OMR,0.437438,09/01/2022
3556,Pakistan Rupee,PKR,199.66196,09/01/2022
3557,Panama Balboa,PAB,1.130549,09/01/2022
